business_code,cust_number,name_customer,clear_date,business_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
U001,200769623,WAL-MAR associates,2019-08-04 05:07:12.020200327,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,1970-01-01 00:00:00.020200327,1970-01-01 00:00:00.020200312,NAH4,767.78,64,,,,12,12,12,1,1,1,1,1,1,32,2955,
CA02,140105785,SHOPPE foundation,2019-09-22 19:22:40.020200410,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,1970-01-01 00:00:00.020200410,1970-01-01 00:00:00.020200331,CA10,1980.7199999999998,64,,,,27,27,27,1,1,1,1,1,1,5,2476,
U001,200769623,WAL-MAR ,2019-07-26 18:16:32.020200314,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,1970-01-01 00:00:00.020200314,1970-01-01 00:00:00.020200228,NAH4,14514.68,64,,,,28,28,28,1,1,1,1,1,1,32,2954,
U001,200769623,WAL-MAR foundation,2019-08-04 12:48:00.020200425,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,1970-01-01 00:00:00.020200425,1970-01-01 00:00:00.020200410,NAH4,55400.31,64,,,,10,10,10,1,1,1,1,1,1,32,2959,
U001,200772670,ASSOCIAT corporation,2019-08-10 08:42:40.020200424,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,1970-01-01 00:00:00.020200424,1970-01-01 00:00:00.020200409,NAU5,174766.36,64,,,,9,9,9,1,1,1,1,1,1,46,188,
U001,200900909,SYSCO systems,2019-09-09 03:31:12.020200414,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,1970-01-01 00:00:00.020200414,1970-01-01 00:00:00.020200313,NA32,31512.75,64,,,,13,13,13,1,1,1,1,1,1,13,2740,
U001,200769623,WAL-MAR systems,2019-07-31 17:14:40.020200414,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,1970-01-01 00:00:00.020200414,1970-01-01 00:00:00.020200330,NAH4,19701.55,64,,,,30,30,30,1,1,1,1,1,1,32,2962,
U001,200726979,BJ'S  trust,2019-08-19 16:40:32.020200501,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,1970-01-01 00:00:00.020200501,1970-01-01 00:00:00.020200416,NAA8,132.72,64,,,,16,16,16,1,1,1,1,1,1,20,326,
U001,200769623,WAL-MAR llc,2019-08-19 11:46:08.020200413,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,1970-01-01 00:00:00.020200413,1970-01-01 00:00:00.020200329,NAH4,1121.15,64,,,,29,29,29,1,1,1,1,1,1,32,2961,
U001,200769623,WAL-MAR llc,2019-08-15 11:39:44.020200421,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,1970-01-01 00:00:00.020200421,1970-01-01 00:00:00.020200406,NAH4,11394.84,64,,,,6,6,6,1,1,1,1,1,1,32,2961,
CA02,140105847,GORDON F co,2019-10-13 22:13:20.020200418,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,1970-01-01 00:00:00.020200418,1970-01-01 00:00:00.020200408,CA10,2579.64,64,,,,8,8,8,1,1,1,1,1,1,5,1102,
U001,200744019,TARG foundation,2019-09-01 15:04:32.020200330,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,1970-01-01 00:00:00.020200330,1970-01-01 00:00:00.020200315,NAA8,52123.3,64,,,,15,15,15,1,1,1,1,1,1,20,2765,
U001,200769623,WAL-MAR systems,2019-08-01 13:22:08.020200325,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,1970-01-01 00:00:00.020200325,1970-01-01 00:00:00.020200310,NAH4,14994.01,64,,,,10,10,10,1,1,1,1,1,1,32,2962,
U001,200769623,WAL-MAR llc,2019-08-12 00:04:16.020200321,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,1970-01-01 00:00:00.020200321,1970-01-01 00:00:00.020200306,NAH4,36.06,64,,,,6,6,6,1,1,1,1,1,1,32,2961,
U001,200418007,AM in,2019-10-17 16:17:04.020200421,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,1970-01-01 00:00:00.020200421,1970-01-01 00:00:00.020200406,NAA8,25836.19,64,,,,6,6,6,1,1,1,1,1,1,20,97,
U001,200739006,AL foundation,2019-07-26 23:06:40.020200430,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,1970-01-01 00:00:00.020200430,1970-01-01 00:00:00.020200415,NAA8,4309.05,64,,,,15,15,15,1,1,1,1,1,1,20,54,
U001,100031704,DELHAIZE associates,2019-09-20 02:16:32.020200430,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,1970-01-01 00:00:00.020200430,1970-01-01 00:00:00.020200415,NAA8,70181.07,64,,,,15,15,15,1,1,1,1,1,1,20,724,
U001,200769623,WAL-MAR trust,2019-08-03 18:59:12.020200412,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,1970-01-01 00:00:00.020200412,1970-01-01 00:00:00.020200328,NAH4,3403.8,64,,,,28,28,28,1,1,1,1,1,1,32,2963,
U001,200744019,TARG systems,2019-09-01 03:56:48.020200514,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,1970-01-01 00:00:00.020200514,1970-01-01 00:00:00.020200310,NAGD,10665.53,64,,,,10,10,10,1,1,1,1,1,1,31,2768,
U001,200769623,WAL-MAR ,2019-08-02 18:52:48.020200405,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,1970-01-01 00:00:00.020200405,1970-01-01 00:00:00.020200321,NAH4,7280.51,64,,,,21,21,21,1,1,1,1,1,1,32,2954,
U001,200726979,BJ'S  corporation,2019-09-21 17:50:56.020200317,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,1970-01-01 00:00:00.020200317,1970-01-01 00:00:00.020200302,NAA8,13681.7,64,,,,2,2,2,1,1,1,1,1,1,20,321,
U001,200706844,WINC associates,2019-10-04 01:31:44.020200422,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,1970-01-01 00:00:00.020200422,1970-01-01 00:00:00.020200407,NAA8,33947.85,64,,,,7,7,7,1,1,1,1,1,1,20,3019,
U001,200793830,M llc,2019-09-15 10:42:08.020200423,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,1970-01-01 00:00:00.020200423,1970-01-01 00:00:00.020200408,NAA8,4537.14,64,,,,8,8,8,1,1,1,1,1,1,20,1689,
U001,200769623,WAL-MAR foundation,2019-08-03 23:30:08.020200421,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,1970-01-01 00:00:00.020200421,1970-01-01 00:00:00.020200406,NAH4,14355.96,64,,,,6,6,6,1,1,1,1,1,1,32,2959,
U001,200769623,WAL-MAR systems,2019-08-04 14:32:32.020200418,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,1970-01-01 00:00:00.020200418,1970-01-01 00:00:00.020200403,NAH4,367.71,64,,,,3,3,3,1,1,1,1,1,1,32,2962,
U001,200769623,WAL-MAR trust,2019-07-31 23:04:32.020200521,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,1970-01-01 00:00:00.020200521,1970-01-01 00:00:00.020200506,NAH4,56284.77,64,,,,6,6,6,1,1,1,1,1,1,32,2963,
U001,200769623,WAL-MAR systems,2019-08-01 14:11:12.020200315,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,1970-01-01 00:00:00.020200315,1970-01-01 00:00:00.020200229,NAH4,50493.86,64,,,,29,29,29,1,1,1,1,1,1,32,2962,
U001,200769623,WAL-MAR llc,2019-08-16 19:56:48.020200506,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,1970-01-01 00:00:00.020200506,1970-01-01 00:00:00.020200421,NAH4,15489.43,64,,,,21,21,21,1,1,1,1,1,1,32,2961,
CA02,140104423,METRO  llc,2019-07-20 18:35:44.020200311,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,1970-01-01 00:00:00.020200311,1970-01-01 00:00:00.020200301,CA10,93179.35199999998,64,,,,27,27,27,1,1,1,1,1,1,5,1859,
U001,200726979,BJ'S  systems,2019-09-09 08:04:16.020200504,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,1970-01-01 00:00:00.020200504,1970-01-01 00:00:00.020200419,NAA8,360.33,64,,,,19,19,19,1,1,1,1,1,1,20,325,
U001,200743996,STATER  llc,2019-08-18 01:25:20.020200520,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,1970-01-01 00:00:00.020200520,1970-01-01 00:00:00.020200316,NAGD,3826.03,64,,,,16,16,16,1,1,1,1,1,1,31,2599,
U001,200752302,KROGER trust,2019-08-12 00:27:44.020200417,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,1970-01-01 00:00:00.020200417,1970-01-01 00:00:00.020200402,NAA8,96674.05,64,,,,2,2,2,1,1,1,1,1,1,20,1564,
CA02,140105686,SYSC llc,2019-09-16 21:02:56.020200518,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,1970-01-01 00:00:00.020200518,1970-01-01 00:00:00.020200508,CA10,43230.299,64,,,,6,6,6,1,1,1,1,1,1,5,2687,
U001,200711029,WEGMAN corp,2019-09-14 16:14:56.020200418,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,1970-01-01 00:00:00.020200418,1970-01-01 00:00:00.020200403,NAA8,14382.22,64,,,,3,3,3,1,1,1,1,1,1,20,2983,
CA02,2001,KRAFT  corporation,2019-11-11 13:13:36.020200427,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,1970-01-01 00:00:00.020200427,1970-01-01 00:00:00.020200323,NAG2,17828.068999999996,64,,,,20,20,20,1,1,1,1,1,1,30,1498,
U001,200769623,WAL-MAR llc,2019-08-16 04:07:28.020200506,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,1970-01-01 00:00:00.020200506,1970-01-01 00:00:00.020200421,NAH4,35509.95,64,,,,21,21,21,1,1,1,1,1,1,32,2961,
U001,200769623,WAL-MAR associates,2019-07-23 06:04:48.020200420,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,1970-01-01 00:00:00.020200420,1970-01-01 00:00:00.020200405,NAH4,13512.61,64,,,,5,5,5,1,1,1,1,1,1,32,2955,
U001,200772670,ASSOCIAT corp,2019-08-24 08:34:08.020200408,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200324,NAU5,24421.33,64,,,,24,24,24,1,1,1,1,1,1,46,187,
U001,200769623,WAL-MAR co,2019-07-26 13:15:44.020200504,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,1970-01-01 00:00:00.020200504,1970-01-01 00:00:00.020200419,NAH4,11217.33,64,,,,19,19,19,1,1,1,1,1,1,32,2956,
U001,200769623,WAL-MAR systems,2019-08-01 10:31:28.020200428,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,1970-01-01 00:00:00.020200428,1970-01-01 00:00:00.020200413,NAH4,12554.13,64,,,,13,13,13,1,1,1,1,1,1,32,2962,
U001,200720238,WOODM co,2019-10-13 12:11:44.020200521,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,1970-01-01 00:00:00.020200521,1970-01-01 00:00:00.020200506,NAA8,126919.03,64,,,,6,6,6,1,1,1,1,1,1,20,2883,
CA02,140106408,WAL-M in,2019-08-26 06:51:44.020200505,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,1970-01-01 00:00:00.020200505,1970-01-01 00:00:00.020200425,CA10,28537.684,64,,,,25,25,25,1,1,1,1,1,1,5,2949,
U001,200769623,WAL-MAR us,2019-08-03 19:01:20.020200330,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,1970-01-01 00:00:00.020200330,1970-01-01 00:00:00.020200315,NAH4,50202.83,64,,,,15,15,15,1,1,1,1,1,1,32,2964,
U001,200769623,WAL-MAR us,2019-07-12 20:58:40.020200416,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,1970-01-01 00:00:00.020200416,1970-01-01 00:00:00.020200401,NAH4,8299.7,64,,,,1,1,1,1,1,1,1,1,1,32,2964,
U001,200799367,MCL corporation,2019-09-06 03:41:52.020200408,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200324,NAA8,51602.13,64,,,,24,24,24,1,1,1,1,1,1,20,1800,
U001,200759878,SA co,2019-08-26 03:26:56.020200429,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,1970-01-01 00:00:00.020200429,1970-01-01 00:00:00.020200414,NAH4,18900.99,64,,,,14,14,14,1,1,1,1,1,1,32,2366,
U001,200794332,COST corp,2019-08-24 03:56:48.020200329,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,1970-01-01 00:00:00.020200329,1970-01-01 00:00:00.020200314,NAAX,49467.7,64,,,,14,14,14,1,1,1,1,1,1,22,614,
U001,200515231,US  us,2019-11-22 01:33:52.020200424,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,1970-01-01 00:00:00.020200424,1970-01-01 00:00:00.020200409,NAA8,10187.66,64,,,,9,9,9,1,1,1,1,1,1,20,2877,
U001,200782669,SYGMA corp,2019-09-04 10:01:36.020200328,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,1970-01-01 00:00:00.020200328,1970-01-01 00:00:00.020200313,NAA8,237.4,64,,,,13,13,13,1,1,1,1,1,1,20,2672,
U001,200769623,WAL-MAR foundation,2019-08-04 16:02:08.020200527,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,1970-01-01 00:00:00.020200527,1970-01-01 00:00:00.020200512,NAH4,11532.84,64,,,,12,12,12,1,1,1,1,1,1,32,2959,
U001,200769623,WAL-MAR ,2019-07-27 14:13:20.020200408,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200324,NAH4,20017.92,64,,,,24,24,24,1,1,1,1,1,1,32,2954,
U001,200331749,SYSC foundation,2019-09-30 04:45:52.020200314,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,1970-01-01 00:00:00.020200314,1970-01-01 00:00:00.020200228,NAA8,5320.85,64,,,,28,28,28,1,1,1,1,1,1,20,2685,
U001,200772670,ASSOCIAT associates,2019-08-13 11:16:16.020200508,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,1970-01-01 00:00:00.020200508,1970-01-01 00:00:00.020200423,NAU5,30900.83,64,,,,23,23,23,1,1,1,1,1,1,46,185,
U001,200772670,ASSOCIAT us,2019-08-04 07:47:12.020200417,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,1970-01-01 00:00:00.020200417,1970-01-01 00:00:00.020200402,NAU5,65843.26,64,,,,2,2,2,1,1,1,1,1,1,46,194,
U001,200706844,WINC foundation,2019-09-23 04:18:08.020200319,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,1970-01-01 00:00:00.020200319,1970-01-01 00:00:00.020200304,NAA8,359.44,64,,,,4,4,4,1,1,1,1,1,1,20,3023,
U001,100043975,JAVA ,2019-12-03 13:45:36.020200418,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,1970-01-01 00:00:00.020200418,1970-01-01 00:00:00.020200403,NAA8,1427.36,64,,,,3,3,3,1,1,1,1,1,1,20,1369,
U001,200762301,C&S WH in,2019-08-16 10:59:12.020200319,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,1970-01-01 00:00:00.020200319,1970-01-01 00:00:00.020200304,NAC6,99091.71,64,,,,4,4,4,1,1,1,1,1,1,25,442,
U001,200148860,DOLLA associates,2019-10-27 13:15:44.020200607,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,1970-01-01 00:00:00.020200607,1970-01-01 00:00:00.020200403,NAGD,6543.44,64,,,,3,3,3,1,1,1,1,1,1,31,786,
CA02,100027744,OMEGA AD in,2019-12-06 21:37:04.020200519,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,1970-01-01 00:00:00.020200519,1970-01-01 00:00:00.020200519,CAB1,4924.5,64,,,,19,19,19,1,1,1,1,1,1,8,2883,
U001,100031704,DELHAIZE co,2019-09-20 07:02:24.020200316,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,1970-01-01 00:00:00.020200316,1970-01-01 00:00:00.020200301,NAA8,106394.18,64,,,,1,1,1,1,1,1,1,1,1,20,725,
U001,200799420,HT HA foundation,2019-12-05 01:18:56.020200409,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,1970-01-01 00:00:00.020200409,1970-01-01 00:00:00.020200325,NAA8,801.1,64,,,,25,25,25,1,1,1,1,1,1,20,2883,
U001,200974851,RESTA systems,2019-09-24 15:49:20.020200410,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,1970-01-01 00:00:00.020200410,1970-01-01 00:00:00.020200326,NAA8,3566.69,64,,,,26,26,26,1,1,1,1,1,1,20,2301,
U001,200769623,WAL-MAR in,2019-08-02 04:16:00.020200513,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,1970-01-01 00:00:00.020200513,1970-01-01 00:00:00.020200428,NAH4,8885.57,64,,,,28,28,28,1,1,1,1,1,1,32,2960,
U001,200793568,SUPE llc,2019-08-28 20:54:24.020200325,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,1970-01-01 00:00:00.020200325,1970-01-01 00:00:00.020200310,NAA8,15893.27,64,,,,10,10,10,1,1,1,1,1,1,20,2635,
U001,200759878,SA foundation,2019-09-13 09:48:48.020200321,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,1970-01-01 00:00:00.020200321,1970-01-01 00:00:00.020200306,NAH4,70180.8,64,,,,6,6,6,1,1,1,1,1,1,32,2369,
U001,200712187,SPAR in,2019-09-04 18:42:08.020200505,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,1970-01-01 00:00:00.020200505,1970-01-01 00:00:00.020200420,NAA8,119384.36,64,,,,20,20,20,1,1,1,1,1,1,20,2580,
U001,100047532,KEYSTON associates,2020-03-13 07:08:48.020200319,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,1970-01-01 00:00:00.020200319,1970-01-01 00:00:00.020200304,NAA8,11852.54,64,,,,4,4,4,1,1,1,1,1,1,20,2883,
U001,200794332,COST co,2019-09-16 20:35:12.020200319,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,1970-01-01 00:00:00.020200319,1970-01-01 00:00:00.020200228,NA84,11225.42,64,,,,28,28,28,1,1,1,1,1,1,17,613,
U001,200148860,DOLLA associates,2019-09-20 17:21:04.020200529,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,1970-01-01 00:00:00.020200529,1970-01-01 00:00:00.020200325,NAGD,5456.75,64,,,,25,25,25,1,1,1,1,1,1,31,786,
U001,200794332,COST llc,2019-09-26 14:15:28.020200523,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,1970-01-01 00:00:00.020200523,1970-01-01 00:00:00.020200508,NAAX,81500.86,64,,,,8,8,8,1,1,1,1,1,1,22,618,
U001,200555117,BURR trust,2019-09-27 01:55:12.020200411,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,1970-01-01 00:00:00.020200411,1970-01-01 00:00:00.020200327,NAA8,749.14,64,,,,27,27,27,1,1,1,1,1,1,20,389,
U001,200769623,WAL-MAR in,2019-08-06 21:05:04.020200524,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,1970-01-01 00:00:00.020200524,1970-01-01 00:00:00.020200509,NAH4,2219.89,64,,,,9,9,9,1,1,1,1,1,1,32,2960,
U001,200772670,ASSOCIAT corp,2019-08-22 19:46:08.020200405,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,1970-01-01 00:00:00.020200405,1970-01-01 00:00:00.020200321,NAU5,15489.78,64,,,,21,21,21,1,1,1,1,1,1,46,187,
U001,200707822,PUBLI corporation,2019-08-21 11:35:28.020200519,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,1970-01-01 00:00:00.020200519,1970-01-01 00:00:00.020200504,NAA8,126107.91,64,,,,4,4,4,1,1,1,1,1,1,20,2196,
CA02,140104392,FLANAG us,2019-10-14 08:44:48.020200320,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,1970-01-01 00:00:00.020200320,1970-01-01 00:00:00.020200310,CA10,2528.673,64,,,,6,6,6,1,1,1,1,1,1,5,2883,
U001,200769623,WAL-MAR corp,2019-07-25 03:33:20.020200513,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,1970-01-01 00:00:00.020200513,1970-01-01 00:00:00.020200428,NAH4,11545.38,64,,,,28,28,28,1,1,1,1,1,1,32,2957,
U001,200759878,SA systems,2019-08-22 18:57:04.020200415,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,1970-01-01 00:00:00.020200415,1970-01-01 00:00:00.020200331,NAH4,47646.57,64,,,,31,31,31,1,1,1,1,1,1,32,2372,
U001,200705742,DOT foundation,2019-09-02 21:20:00.020200314,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,1970-01-01 00:00:00.020200314,1970-01-01 00:00:00.020200228,NAA8,5932.51,64,,,,28,28,28,1,1,1,1,1,1,20,819,
U001,200793568,SUPE trust,2019-09-11 18:46:24.020200407,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,1970-01-01 00:00:00.020200407,1970-01-01 00:00:00.020200323,NAA8,1635.76,64,,,,23,23,23,1,1,1,1,1,1,20,2637,
U001,200726979,BJ'S  ,2019-09-21 17:55:12.020200327,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,1970-01-01 00:00:00.020200327,1970-01-01 00:00:00.020200312,NAA8,1286.3,64,,,,12,12,12,1,1,1,1,1,1,20,317,
U001,200704858,WAKE corp,2019-08-06 22:26:08.020200424,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,1970-01-01 00:00:00.020200424,1970-01-01 00:00:00.020200409,NAA8,99568.42,64,,,,9,9,9,1,1,1,1,1,1,20,2926,
U001,200780383,MEIJ in,2019-09-04 07:42:56.020200402,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,1970-01-01 00:00:00.020200402,1970-01-01 00:00:00.020200318,NAA8,3612.63,64,,,,18,18,18,1,1,1,1,1,1,20,1836,
U001,200762301,C&S WH associates,2019-08-12 15:00:16.020200427,2020.0,1930778021.0,2020-04-12 00:00:00.000000000,1970-01-01 00:00:00.020200427,1970-01-01 00:00:00.020200412,NAC6,102276.04,64,,,,12,12,12,1,1,1,1,1,1,25,437,
CA02,140106271,LONGO  in,2019-11-17 05:32:48.020200417,2020.0,2960626604.0,2020-04-03 00:00:00.000000000,1970-01-01 00:00:00.020200417,1970-01-01 00:00:00.020200407,CA10,8615.453,64,,,,3,3,3,1,1,1,1,1,1,5,1649,
CA02,140104423,METRO  us,2019-09-18 10:14:24.020200501,2020.0,2960628851.0,2020-04-17 00:00:00.000000000,1970-01-01 00:00:00.020200501,1970-01-01 00:00:00.020200421,CA10,45059.545999999995,64,,,,17,17,17,1,1,1,1,1,1,5,1862,
U001,200741174,M B  co,2019-09-23 21:28:32.020200331,2020.0,1930657267.0,2020-03-16 00:00:00.000000000,1970-01-01 00:00:00.020200331,1970-01-01 00:00:00.020200316,NAA8,5767.83,64,,,,16,16,16,1,1,1,1,1,1,20,1670,
CA02,100030194,AMAZO llc,2019-11-27 20:37:20.020200330,2020.0,2960622411.0,2020-03-18 00:00:00.000000000,1970-01-01 00:00:00.020200330,1970-01-01 00:00:00.020200320,CA10,9851.667,64,,,,18,18,18,1,1,1,1,1,1,5,110,
U001,200769623,WAL-MAR trust,2019-07-30 21:52:00.020200414,2020.0,1930720012.0,2020-03-30 00:00:00.000000000,1970-01-01 00:00:00.020200414,1970-01-01 00:00:00.020200330,NAH4,42379.83,64,,,,30,30,30,1,1,1,1,1,1,32,2963,
